id,link,segment_id,start,end,sentiment,happy,sad,anger,surprise,disgust,fear
--qXJuDtHPw,https://youtube.com/watch?v=--qXJuDtHPw,0,23.199,30.325,1.0,0.6666667,0.0,0.0,0.0,0.0,0.0
-3g5yACwYnA,https://youtube.com/watch?v=-3g5yACwYnA,0,82.753,100.555,1.0,0.6666667,0.6666667,0.0,0.0,0.0,0.6666667
-3g5yACwYnA,https://youtube.com/watch?v=-3g5yACwYnA,1,119.919,125.299,0.6666667,0.0,0.0,0.0,0.0,0.0,0.0
-3g5yACwYnA,https://youtube.com/watch?v=-3g5yACwYnA,2,4.84,14.052,0.0,0.6666667,0.6666667,0.0,0.0,0.0,0.33333334
-3g5yACwYnA,https://youtube.com/watch?v=-3g5yACwYnA,3,13.211,27.521,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0
-3g5yACwYnA,https://youtube.com/watch?v=-3g5yACwYnA,4,26.541,41.3,1.0,0.6666667,0.0,0.0,0.0,0.0,0.0
-3g5yACwYnA,https://youtube.com/watch?v=-3g5yACwYnA,5,74.083,82.776,0.6666667,0.0,0.6666667,0.0,0.0,0.0,0.33333334
-3nNcZdcdvU,https://youtube.com/watch?v=-3nNcZdcdvU,0,0.0,9.213,0.33333334,1.6666666,0.0,0.0,0.0,0.0,0.0
-3nNcZdcdvU,https://youtube.com/watch?v=-3nNcZdcdvU,1,12.014,20.098,1.0,2.3333333,0.0,0.0,0.0,0.0,0.0
-3nNcZdcdvU,https://youtube.com/watch?v=-3nNcZdcdvU,2,36.399,44.173,0.0,1.6666666,0.0,0.0,0.0,0.0,0.0
-571d8cVauQ,https://youtube.com/watch?v=-571d8cVauQ,0,0.0,4.992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-571d8cVauQ,https://youtube.com/watch?v=-571d8cVauQ,1,21.842,28.309,-0.6666667,0.33333334,0.33333334,0.0,0.0,0.0,0.0
-571d8cVauQ,https://youtube.com/watch?v=-571d8cVauQ,2,69.893,85.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0
